scenario_id,scenario_name,group,repeat,msg_type,priority,interval_ms,ttl_sec,collapse_key,payload_bytes,msg_count,delivery_rate_pct,avg_latency_ms,p95_latency_ms,p99_latency_ms,retry_rate_pct,dlq_rate_pct,duplicate_rate_pct,throughput_msg_per_sec,experiment_id
STP-E3,"Slow (1000ms 간격)",E,3,combined,high,1000,,,,50,100.00,96.6,196.0,264.0,0.00,0.00,0.00,0.72,STP-E3-R3-191bf5c2
STP-F1,"Minimal payload (<100B)",F,1,combined,high,200,,,,50,100.00,66.5,160.0,273.0,0.00,0.00,0.00,1.65,STP-F1-R1-c5c291d0
STP-F1,"Minimal payload (<100B)",F,2,combined,high,200,,,,50,100.00,69.3,199.0,251.0,0.00,0.00,0.00,1.66,STP-F1-R2-2c250f95
STP-F1,"Minimal payload (<100B)",F,3,combined,high,200,,,,50,100.00,67.8,170.0,233.0,0.00,0.00,0.00,1.67,STP-F1-R3-534f5b0b
STP-F2,"Medium payload (2KB)",F,1,data,high,200,,,2048,50,100.00,66.6,186.0,266.0,0.00,0.00,0.00,1.70,STP-F2-R1-a7b648a3
STP-F2,"Medium payload (2KB)",F,2,data,high,200,,,2048,50,100.00,67.7,185.0,245.0,0.00,0.00,0.00,1.66,STP-F2-R2-5a202806
STP-F2,"Medium payload (2KB)",F,3,data,high,200,,,2048,50,100.00,64.7,144.0,273.0,0.00,0.00,0.00,1.71,STP-F2-R3-650b9bcb
STP-F3,"Large payload (4KB, 한도)",F,1,data,high,200,,,3900,50,100.00,83.5,187.0,200.0,0.00,0.00,0.00,1.58,STP-F3-R1-6205e9f9
STP-F3,"Large payload (4KB, 한도)",F,2,data,high,200,,,3900,50,100.00,72.8,187.0,242.0,0.00,0.00,0.00,1.59,STP-F3-R2-2eb8f5fd
STP-F3,"Large payload (4KB, 한도)",F,3,data,high,200,,,3900,50,100.00,70.9,184.0,266.0,0.00,0.00,0.00,1.63,STP-F3-R3-b943205d
